Species,CoopConserv,ClassicMono,Group,Parental,Diet
Altolamprologus_calvus,1,0,1,0,0
Altolamprologus_compressiceps,1,1,1,1,0
Chalinochromis_brichardi,0,0,0,1,0
Chalinochromis_popelini,0,0,0,1,0
Julidochromis_dickfeldi,0,0,0,1,0
Julidochromis_marlieri,0,0,0,1,0
Julidochromis_ornatus,0,1,0,1,0
Julidochromis_regani,0,0,0,1,0
Julidochromis_transcriptus,0,1,0,1,0
Lamprologus_callipterus,1,1,0,1,0
Lamprologus_congoensis,1,1,1,0,NA
Lamprologus_kungweensis,1,0,1,0,0
Lamprologus_laparogramma,1,0,1,1,NA
Lamprologus_lemairii,1,1,1,0,1
Lamprologus_meleagris,1,1,1,0,NA
Lamprologus_ocellatus,1,1,1,0,0
Lamprologus_ornatipinnis,1,1,1,0,NA
Lamprologus_signatus,1,0,1,1,0
Lamprologus_speciosus,1,1,1,0,0
Lamprologus_teugelsi,1,1,1,0,NA
Lepidiolamprologus_attenuatus,1,0,1,1,1
Lepidiolamprologus_cunningtoni,1,0,1,1,1
Lepidiolamprologus_elongatus,1,0,0,1,1
Lepidiolamprologus_kendalli,1,0,1,1,1
Lepidiolamprologus_nkambae,1,0,1,1,1
Lepidiolamprologus_profundicola,1,1,1,0,1
Neolamprologus_bifasciatus,1,NA,1,NA,NA
Neolamprologus_boulengeri,1,1,1,0,NA
Neolamprologus_brevis,1,1,1,0,0
Neolamprologus_brichardi,0,1,0,1,0
Neolamprologus_buescheri,1,1,0,0,0
Neolamprologus_caudopunctatus,1,0,0,1,0
Neolamprologus_christyi,1,1,1,1,0
Neolamprologus_cylindricus,1,0,1,1,0
Neolamprologus_devosi,1,NA,1,NA,0
Neolamprologus_falcicula,0,0,0,1,NA
Neolamprologus_fasciatus,1,1,0,0,1
Neolamprologus_furcifer,1,1,1,0,0
Neolamprologus_gracilis,0,0,0,1,NA
Neolamprologus_hecqui,1,1,1,0,0
Neolamprologus_helianthus,0,0,0,1,0
Neolamprologus_leleupi,1,0,1,1,0
Neolamprologus_marunguensis,0,0,0,1,NA
Neolamprologus_meeli,1,1,1,1,0
Neolamprologus_modestus,1,1,1,0,0
Neolamprologus_mondabu,1,1,1,0,0
Neolamprologus_moori,1,1,1,1,0
Neolamprologus_multifasciatus,0,1,0,1,0
Neolamprologus_mustax,1,0,1,1,0
Neolamprologus_niger,0,0,0,1,0
Neolamprologus_nigriventris,1,NA,0,NA,0
Neolamprologus_obscurus,0,1,0,1,0
Neolamprologus_olivaceous,0,0,0,1,NA
Neolamprologus_petricola,1,1,1,0,0
Neolamprologus_prochilus,1,0,1,1,0
Neolamprologus_pulcher,0,1,0,1,0
Neolamprologus_savoryi,0,1,0,1,0
Neolamprologus_sexfasciatus,1,0,1,1,1
Neolamprologus_similis,0,1,0,1,0
Neolamprologus_splendens,0,0,0,1,NA
Neolamprologus_tetracanthus,1,1,1,0,1
Neolamprologus_toae,1,0,1,1,0
Neolamprologus_tretocephalus,1,0,1,1,0
Neolamprologus_variostigma,1,NA,1,NA,NA
Neolamprologus_walteri,0,0,0,1,0
Telmatochromis_bifrenatus,1,1,1,0,0
Telmatochromis_dhonti,1,1,0,0,0
Telmatochromis_temporalis,1,1,1,0,0
Telmatochromis_vittatus,1,1,1,0,0
